Title,Latitude,Longitude
Ben,36.386752,-78.983214
Tabitha,36.386752,-78.983214
Sawney,36.386752,-78.983214
Solomon,36.386752,-78.983214
Jim,36.386752,-78.983214
Alexander,36.386752,-78.983214
Cary,36.386752,-78.983214
Henry,36.386752,-78.983214
Allen,36.386752,-78.983214
Jacob,36.389888,-80.723162
Isaac,36.394785,-79.763569
John,36.394785,-79.763569
Abby,36.394785,-79.763569
Allen,36.394785,-79.763569
Jim,36.394785,-79.763569
Billy,36.394785,-79.763569
Dick,36.394785,-79.763569
Abram,36.394785,-79.763569
Solomon,36.394785,-79.763569
Moses,36.394785,-79.763569
Alford,36.402877,-78.159693
Phagon,36.402877,-78.159693
Shadrack,36.402877,-78.159693
Jack,36.402877,-78.159693
Ned,36.402877,-78.159693
Austin,36.402877,-78.159693
Fed,36.402877,-78.159693
Ferry,36.402877,-78.159693
Nelson,36.402877,-78.159693
Elan,36.402877,-78.159693
Dick,36.402877,-78.159693
Moses,36.402877,-78.159693
Sam,36.404389,-80.208031
Leonard,36.404389,-80.208031
Croatan,36.439381,-76.088869
Merica,36.439381,-76.088869
Abram,36.439381,-76.088869
Nero,34.093877,-78.1613
Isaac,34.093877,-78.1613
Celia,34.321375,-78.684081
Brister,34.321375,-78.684081
Scip,34.622239,-78.602589
Nelson,34.622239,-78.602589
Sally,34.622239,-78.602589
Adam,34.622239,-78.602589
Joe,34.622239,-78.602589
Peter,34.622239,-78.602589
Bob,34.622239,-78.602589
Dick,34.622239,-78.602589
Alick,34.622239,-78.602589
Luner,34.622239,-78.602589
Ned,34.955589,-77.960073
Caleb,34.955589,-77.960073
Joe,34.955589,-77.960073
Arthur,34.955589,-77.960073
Esther,34.955589,-77.960073
Jack,34.955589,-77.960073
Mose,34.955589,-77.960073
Willis,34.955634,-80.076277
Hardy,34.955634,-80.076277
Sarah,34.955634,-80.076277
Stepny,34.955634,-80.076277
Dolly,34.955634,-80.076277
Joe,34.955634,-80.076277
Ellis,34.955634,-80.076277
Abram,34.955634,-80.076277
Ephraim,34.955634,-80.076277
Phillis,34.955634,-80.076277
Tom,34.955634,-80.076277
Peter,34.955634,-80.076277
Deen,34.955634,-80.076277
Jinny,34.955634,-80.076277
Hauzer,34.955634,-80.076277
Jim,34.955634,-80.076277
Sam,34.955634,-80.076277
Isaac,35.062555,-78.876896
Sam,35.062555,-78.876896
Jim,35.062555,-78.876896
Reddock,35.062555,-78.876896
Caesar,35.062555,-78.876896
Penny,35.062555,-78.876896
Sandy,35.062555,-78.876896
Simon,35.062555,-78.876896
Tener,35.062555,-78.876896
Shadrack,35.062555,-78.876896
Willis,35.062555,-78.876896
Ben,35.062555,-78.876896
Bill,35.062555,-78.876896
Frank,35.062555,-78.876896
Peter,35.062555,-78.876896
Charles,35.062555,-78.876896
Stephen,35.062555,-78.876896
Charles:,35.062555,-78.876896
Ephraim,35.062555,-78.876896
Lovelace,35.062555,-78.876896
Tom,35.062555,-78.876896
Judy,35.062555,-78.876896
Dick,35.062555,-78.876896
Jemimah,35.062555,-78.876896
Balaam,35.062555,-78.876896
Dublin,35.062555,-78.876896
Satira,35.062555,-78.876896
Sanders,35.062555,-78.876896
Jessee,35.062555,-78.876896
Dave,35.062555,-78.876896
Hampton,35.062555,-78.876896
Hector,35.062555,-78.876896
Clary,35.062555,-78.876896
Jacob,35.062555,-78.876896
Ann,35.062555,-78.876896
Febabry,35.062555,-78.876896
Henry,35.062555,-78.876896
John,35.062555,-78.876896
Edy,35.062555,-78.876896
Dick,35.073583,-77.357975
Toney,35.073583,-77.357975
Anic,35.073583,-77.357975
Elias,35.073583,-77.357975
Floresco,35.073583,-77.357975
Jack,35.073583,-77.357975
Kesiah,35.073583,-77.357975
London,35.073583,-77.357975
Cot,35.073583,-77.357975
Jerry,35.073583,-77.357975
Jim,35.073583,-77.357975
John,35.073583,-77.357975
Bob,35.073583,-77.357975
Rachel,35.073583,-77.357975
Ned,35.073583,-77.357975
Cato,35.073583,-77.357975
Isaac,35.073583,-77.357975
Lucy,35.073583,-77.357975
Temp,35.073583,-77.357975
Delila,35.073583,-77.357975
Martin,35.073583,-77.357975
Peter,35.073583,-77.357975
Ellis,35.073583,-77.357975
Washington,35.073583,-77.357975
Harriet,35.073583,-77.357975
Mary,35.073583,-77.357975
Sam,35.073583,-77.357975
Horace,35.073583,-77.357975
Robert,35.073583,-77.357975
Sampson,35.073583,-77.357975
Joe,35.118396,-77.063348
Kit,35.118396,-77.063348
Sam,35.118396,-77.063348
Bob,35.118396,-77.063348
Nat,35.118396,-77.063348
Rose,35.118396,-77.063348
Alfred,35.118396,-77.063348
Tom,35.118396,-77.063348
John,35.118396,-77.063348
London,35.118396,-77.063348
Hughs,35.118396,-77.063348
Lewis,35.118396,-77.063348
Aaron,35.118396,-77.063348
Jacob,35.118396,-77.063348
Stella,35.118396,-77.063348
Marinda,35.118396,-77.063348
Lifford,35.118396,-77.063348
Dick,35.118396,-77.063348
George,35.118396,-77.063348
Ally,35.118396,-77.063348
Solomon,35.118396,-77.063348
Oster,35.118396,-77.063348
Molly,35.118396,-77.063348
Sarah,35.118396,-77.063348
Gilbo,35.118396,-77.063348
Calvin,35.118396,-77.063348
Isaac,35.118396,-77.063348
Juda,35.118396,-77.063348
Moses,35.118396,-77.063348
Fanny,35.118396,-77.063348
Ezekiel,35.118396,-77.063348
Polly,35.118396,-77.063348
Caesear,35.118396,-77.063348
Toney,35.118396,-77.063348
Owen,35.118396,-77.063348
Tempy,35.118396,-77.063348
Bill,35.118396,-77.063348
Wiley,35.118396,-77.063348
Nance,35.118396,-77.063348
Simon,35.118396,-77.063348
Lucy,35.118396,-77.063348
Sukey,35.118396,-77.063348
Pollock,35.118396,-77.063348
Burton,35.118396,-77.063348
Henry,35.118396,-77.063348
Judy,35.118396,-77.063348
Mary,35.118396,-77.063348
Nelson,35.118396,-77.063348
Samuel,35.118396,-77.063348
William,35.118396,-77.063348
Jack,35.118396,-77.063348
Sidney,35.118396,-77.063348
Haywood,35.118396,-77.063348
Simon,35.237997,-80.81653
Cain,35.237997,-80.81653
Charles:Moses,35.237997,-80.81653
Jacob,35.237997,-80.81653
Paris,35.237997,-80.81653
Joe,35.237997,-80.81653
Silvia,35.237997,-80.81653
Sina,35.237997,-80.81653
Julius,35.237997,-80.81653
Rixon,35.237997,-80.81653
Robin,35.237997,-80.81653
Tob,35.237997,-80.81653
Tom,35.237997,-80.81653
Tone,35.237997,-80.81653
Washington,35.237997,-80.81653
Peyton,35.237997,-80.81653
Giles,35.237997,-80.81653
Peter,35.237997,-80.81653
Grace,35.237997,-80.81653
Sam,35.237997,-80.81653
Mack,35.237997,-80.81653
Jim,35.237997,-80.81653
Rachel,35.237997,-80.81653
Jack,35.237997,-80.81653
Charles,35.237997,-80.81653
Hannibal,35.237997,-80.81653
Edmund,35.237997,-80.81653
King,35.237997,-80.81653
Robert,35.237997,-80.81653
Dennis,35.237997,-80.81653
Scott,35.237997,-80.81653
Hector,35.237997,-80.81653
John,35.237997,-80.81653
Ellick,35.237997,-80.81653
Bill,35.237997,-80.81653
Sarah,35.237997,-80.81653
Henry,35.237997,-80.81653
Lucy,35.237997,-80.81653
Old Jim,35.237997,-80.81653
Sam,35.339678,-79.415549
Silva,35.339678,-79.415549
Brantly,35.339678,-79.415549
Dicy,35.339678,-79.415549
Daniel,35.339678,-79.415549
George,35.339678,-79.415549
Bill,35.366763,-79.889575
John,35.366763,-79.889575
Nan,35.366763,-79.889575
Peter,35.366763,-79.889575
July,35.366763,-79.889575
Simon,35.404873,-80.578954
Harry,35.404873,-80.578954
Levi,35.404873,-80.578954
Silas,35.404873,-80.578954
Anniky,35.404873,-80.578954
Joe,35.404873,-80.578954
Richard,35.404873,-80.578954
John,35.404873,-80.578954
Jim,35.404873,-80.578954
Peter,35.404873,-80.578954
Moses,35.404873,-80.578954
Lewis,35.404873,-80.578954
Squire,35.404873,-80.578954
Jude,35.404873,-80.578954
Tom,35.404873,-80.578954
Tim,35.404873,-80.578954
Hugh,35.404873,-80.578954
Ned,35.459588,-77.68605
Lewis,35.459588,-77.68605
Chance,35.459588,-77.68605
Spencer,35.459588,-77.68605
Tom,35.464052,-81.247804
Bill,35.464052,-81.247804
Sherod,35.464052,-81.247804
Lucy,35.464052,-81.247804
Wardy,35.464052,-81.247804
Jinney,35.464052,-81.247804
Reuben,35.464052,-81.247804
Emsly,35.52346,-78.346821
Ben,35.52346,-78.346821
Jarvis,35.52346,-78.346821
Viney,35.52346,-78.346821
Tom,35.52346,-78.346821
Mike,35.52346,-78.346821
Robin,35.52346,-78.346821
